\ell, cls, \sigma_\ell
4.200000000000000000e+01 3.525179353727948328e+00 3.148557071527309237e-01
4.300000000000000000e+01 4.238218493577041279e+00 3.063715893311893534e-01
4.400000000000000000e+01 4.083226548734280037e+00 2.983396830418653112e-01
4.500000000000000000e+01 3.577883314650375457e+00 2.907332799475853546e-01
4.600000000000000000e+01 4.498241051672383861e+00 2.835170002674963774e-01
4.700000000000000000e+01 3.687812130015074352e+00 2.766609001870393714e-01
4.800000000000000000e+01 3.867898087613122815e+00 2.701370124525522831e-01
4.900000000000000000e+01 2.685046947823546137e+00 2.639214854874169514e-01
5.000000000000000000e+01 2.759260730313009891e+00 2.579989371078628690e-01
5.100000000000000000e+01 4.614463971637052353e+00 2.523552896341746954e-01
5.200000000000000000e+01 3.595497586301834136e+00 2.469673917150343734e-01
5.300000000000000000e+01 3.645999189420272568e+00 2.418126774215358654e-01
5.400000000000000000e+01 3.080026771290565790e+00 2.368750252595024919e-01
5.500000000000000000e+01 3.008572651640994522e+00 2.321408618417133696e-01
5.600000000000000000e+01 2.857591237139862628e+00 2.276066065356716905e-01
5.700000000000000000e+01 2.984741873199267648e+00 2.232677815949341005e-01
5.800000000000000000e+01 2.459707311499756077e+00 2.191095710132074936e-01
5.900000000000000000e+01 3.114429244959945553e+00 2.151153494318757131e-01
6.000000000000000000e+01 3.561130808620172061e+00 2.112745266291530255e-01
6.100000000000000000e+01 3.358986038875298341e+00 2.075791431930656961e-01
6.200000000000000000e+01 2.546389895184060670e+00 2.040217190889613841e-01
6.300000000000000000e+01 2.378253231881692020e+00 2.005960544550070279e-01
6.400000000000000000e+01 2.217515170067970054e+00 1.972954325269227205e-01
6.500000000000000000e+01 2.692256512438891303e+00 1.941148616535930960e-01
6.600000000000000000e+01 2.315727814524445094e+00 1.910502580055276345e-01
6.700000000000000000e+01 2.471895525259477644e+00 1.880945839042685863e-01
6.800000000000000000e+01 2.306957252136008663e+00 1.852403596350353787e-01
6.900000000000000000e+01 2.488596854586627050e+00 1.824803003219370723e-01
7.000000000000000000e+01 2.553738595706707581e+00 1.798084305297364405e-01
7.100000000000000000e+01 1.641768531445300772e+00 1.772195524979719439e-01
7.200000000000000000e+01 2.367273615360618866e+00 1.747150614218511699e-01
7.300000000000000000e+01 2.258561212341369195e+00 1.722960020945262516e-01
7.400000000000000000e+01 1.734925317369334419e+00 1.699584768292881354e-01
7.500000000000000000e+01 2.162408546048587343e+00 1.676984904376159491e-01
7.600000000000000000e+01 2.056287345174196979e+00 1.655104084047357982e-01
7.700000000000000000e+01 2.363713550319073597e+00 1.633859741017982536e-01
7.800000000000000000e+01 2.157543527395553884e+00 1.613221191769015905e-01
7.900000000000000000e+01 2.112718583968988817e+00 1.593182929016590810e-01
8.000000000000000000e+01 1.880620398317687236e+00 1.573730316484794334e-01
8.100000000000000000e+01 2.140484368623740252e+00 1.554849265457021457e-01
8.200000000000000000e+01 1.535850962505869388e+00 1.536518754681131249e-01
8.300000000000000000e+01 1.479815697498627625e+00 1.518705779080374574e-01
8.400000000000000000e+01 1.790303772197485266e+00 1.501387245557133654e-01
8.500000000000000000e+01 1.478888880376113768e+00 1.484538837263894573e-01
8.600000000000000000e+01 1.543351893734177693e+00 1.468139462842004139e-01
8.700000000000000000e+01 1.780964426162775949e+00 1.452161781438063015e-01
8.800000000000000000e+01 1.894831830376502824e+00 1.436584283078896629e-01
8.900000000000000000e+01 1.733169385444203403e+00 1.421395908243979211e-01
9.000000000000000000e+01 2.159046675197933585e+00 1.406583733108911494e-01
9.100000000000000000e+01 1.555356571695797996e+00 1.392137347451330998e-01
9.200000000000000000e+01 1.795068297509449406e+00 1.378043640923079238e-01
9.300000000000000000e+01 1.455906350466826149e+00 1.364294074711419058e-01
9.400000000000000000e+01 1.841879632724949367e+00 1.350874198867931530e-01
9.500000000000000000e+01 2.090367346044140540e+00 1.337776326856203457e-01
9.600000000000000000e+01 1.579347072513020311e+00 1.324987086157483618e-01
9.700000000000000000e+01 1.643012807447761459e+00 1.312495711610207061e-01
9.800000000000000000e+01 1.300200971585699694e+00 1.300293802201833437e-01
9.900000000000000000e+01 1.476089224668757804e+00 1.288365904227182779e-01
1.000000000000000000e+02 1.720607379570869400e+00 1.276706465884101804e-01
1.010000000000000000e+02 1.498430380070441936e+00 1.265304746001331138e-01
1.020000000000000000e+02 1.470779899593631423e+00 1.254152264312802800e-01
1.030000000000000000e+02 1.668113618408816778e+00 1.243237517121659058e-01
1.040000000000000000e+02 1.466761187694354707e+00 1.232552934023775637e-01
1.050000000000000000e+02 1.644119609592435527e+00 1.222089633031088474e-01
1.060000000000000000e+02 1.452561618047827574e+00 1.211839158892924206e-01
1.070000000000000000e+02 1.386393792594926788e+00 1.201793459192421476e-01
1.080000000000000000e+02 1.635922027226174746e+00 1.191943329071409319e-01
1.090000000000000000e+02 1.710909536571706413e+00 1.182284551153233304e-01
1.100000000000000000e+02 1.403211456155199155e+00 1.172808589500462934e-01
1.110000000000000000e+02 1.548998690657757082e+00 1.163508798158984919e-01
1.120000000000000000e+02 1.257680703008319911e+00 1.154380276514821863e-01
1.130000000000000000e+02 1.546635613534301124e+00 1.145416915906286165e-01
1.140000000000000000e+02 1.561527036758377562e+00 1.136612881834277861e-01
1.150000000000000000e+02 1.375229606062278176e+00 1.127962599482696532e-01
1.160000000000000000e+02 1.544979902636752334e+00 1.119462058548001127e-01
1.170000000000000000e+02 1.484043651746517867e+00 1.111106092390967970e-01
1.180000000000000000e+02 1.616165078093863672e+00 1.102888487605499929e-01
1.190000000000000000e+02 1.382705782798415273e+00 1.094805832381926664e-01
1.200000000000000000e+02 1.480895584280647714e+00 1.086853598966061041e-01
1.210000000000000000e+02 1.490811437451577737e+00 1.079027451842305280e-01
1.220000000000000000e+02 1.395748409007241841e+00 1.071322053048684303e-01
1.230000000000000000e+02 1.483442021311776937e+00 1.063734648680247918e-01
1.240000000000000000e+02 1.425903351198870350e+00 1.056261422510529208e-01
1.250000000000000000e+02 1.219439307312487175e+00 1.048897589462643165e-01
1.260000000000000000e+02 1.495313271906713259e+00 1.041640802388674181e-01
1.270000000000000000e+02 1.316217633990365288e+00 1.034486602902224273e-01
1.280000000000000000e+02 1.291419976669231584e+00 1.027431809789967204e-01
1.290000000000000000e+02 1.545375747966901026e+00 1.020474420782778724e-01
1.300000000000000000e+02 1.377686678139045773e+00 1.013610413382411146e-01
1.310000000000000000e+02 1.468725754805004335e+00 1.006835956876820648e-01
1.320000000000000000e+02 1.245082123929856399e+00 1.000150436516713676e-01
1.330000000000000000e+02 1.273627996016387209e+00 9.935492688387777271e-02
1.340000000000000000e+02 1.476571854133932105e+00 9.870310077103772173e-02
1.350000000000000000e+02 1.338043721516120277e+00 9.805923226695770212e-02
1.360000000000000000e+02 1.507305040442489918e+00 9.742319134961105465e-02
1.370000000000000000e+02 1.392815128135680425e+00 9.679466488740696983e-02
1.380000000000000000e+02 1.268705501936283619e+00 9.617344470196192985e-02
1.390000000000000000e+02 1.381415692691259078e+00 9.555924008864176422e-02
1.400000000000000000e+02 1.291277794978456184e+00 9.495203867592799662e-02
1.410000000000000000e+02 1.243915450032743841e+00 9.435147498499669994e-02
1.420000000000000000e+02 1.127045775546923645e+00 9.375737252853125203e-02
1.430000000000000000e+02 1.409217533462764349e+00 9.316964563131550914e-02
1.440000000000000000e+02 1.091556917746373312e+00 9.258795888492848958e-02
1.450000000000000000e+02 1.223677315600103732e+00 9.201223919909284898e-02
1.460000000000000000e+02 1.171688849764689122e+00 9.144208926743584154e-02
1.470000000000000000e+02 1.337975578020393908e+00 9.087737068755373515e-02
1.480000000000000000e+02 1.012982683154199481e+00 9.031787057218886028e-02
1.490000000000000000e+02 1.256504775236205074e+00 8.976338465217606477e-02
1.500000000000000000e+02 1.043087663881706373e+00 8.921371686213531993e-02
1.510000000000000000e+02 1.081352991360722271e+00 8.866860233671848557e-02
1.520000000000000000e+02 1.218907167130445668e+00 8.812808282659537196e-02
1.530000000000000000e+02 1.156373046583110353e+00 8.759197336156714087e-02
1.540000000000000000e+02 1.246332739216712060e+00 8.706024162332937077e-02
1.550000000000000000e+02 1.124539268094693290e+00 8.653278283396911852e-02
1.560000000000000000e+02 1.262417050964520504e+00 8.600963689195348372e-02
1.570000000000000000e+02 1.234474613582410285e+00 8.549055985107428812e-02
1.580000000000000000e+02 1.140170709350180722e+00 8.497559393125457550e-02
1.590000000000000000e+02 1.047869909382557640e+00 8.446457278525536239e-02
1.600000000000000000e+02 1.088524931907083548e+00 8.395740359790945795e-02
